a,b,rho,P
,,7.20E+14,8.74E+34
,,7.69E+14,1.07E+35
,,8.22E+14,1.32E+35
,,8.81E+14,1.62E+35
,,9.45E+14,1.99E+35
,,1.02E+15,2.44E+35
,,1.09E+15,3.00E+35
,,1.18E+15,3.69E+35
,,1.28E+15,4.35E+35
,,1.38E+15,5.14E+35
,,1.50E+15,6.07E+35
,,1.63E+15,7.17E+35
,,1.78E+15,8.46E+35
,,1.95E+15,9.99E+35
,,2.14E+15,1.17E+36
,,2.35E+15,1.36E+36
,,2.59E+15,1.57E+36
,,2.86E+15,1.82E+36
,,3.17E+15,2.09E+36
,,3.52E+15,2.41E+36
,,3.92E+15,2.77E+36
,,4.38E+15,3.19E+36
,,4.91E+15,3.66E+36
,,5.52E+15,4.21E+36
,,6.23E+15,4.84E+36
,,7.04E+15,5.58E+36
,,7.98E+15,6.42E+36
,,9.08E+15,7.41E+36
,,1.04E+16,8.55E+36
,,1.18E+16,9.88E+36
,,1.36E+16,1.14E+37
,,1.56E+16,1.32E+37
,,1.79E+16,1.53E+37
,,2.07E+16,1.78E+37
,,2.39E+16,2.07E+37
,,2.76E+16,2.41E+37
,,3.20E+16,2.80E+37
,,3.72E+16,3.27E+37
,,4.33E+16,3.81E+37
,,5.04E+16,4.46E+37
,,5.88E+16,5.21E+37
,,6.86E+16,6.09E+37
,,8.02E+16,7.13E+37
,,9.38E+16,8.36E+37
,,1.10E+17,9.80E+37
,,1.29E+17,1.15E+38
,,1.51E+17,1.35E+38
,,1.77E+17,1.59E+38
,,2.96E+17,2.65E+38
,,4.94E+17,4.44E+38
,,8.26E+17,7.41E+38
,,1.38E+18,1.24E+39
,,2.30E+18,2.07E+39
