a,b,rho,P
547,547,5.71E+10,7.01E+28
548,548,5.84E+10,7.22E+28
549,549,6.12E+10,7.44E+28
550,550,6.26E+10,7.67E+28
551,551,6.40E+10,7.90E+28
552,552,6.55E+10,8.14E+28
553,553,6.70E+10,8.39E+28
554,554,6.85E+10,8.65E+28
555,555,7.00E+10,8.91E+28
556,556,7.16E+10,9.18E+28
557,557,7.33E+10,9.46E+28
558,558,7.49E+10,9.75E+28
559,559,7.66E+10,1.00E+29
560,560,7.98E+10,1.03E+29
561,561,8.37E+10,1.07E+29
562,562,8.56E+10,1.10E+29
563,563,8.75E+10,1.13E+29
564,564,8.95E+10,1.17E+29
565,565,9.15E+10,1.20E+29
566,566,9.36E+10,1.24E+29
567,567,9.58E+10,1.28E+29
568,568,9.79E+10,1.32E+29
569,569,1.00E+11,1.36E+29
570,570,1.02E+11,1.40E+29
571,571,1.05E+11,1.44E+29
572,572,1.09E+11,1.48E+29
573,573,1.11E+11,1.53E+29
574,574,1.14E+11,1.57E+29
575,575,1.16E+11,1.62E+29
576,576,1.19E+11,1.67E+29
577,577,1.22E+11,1.72E+29
578,578,1.24E+11,1.77E+29
579,579,1.27E+11,1.83E+29
580,580,1.30E+11,1.88E+29
581,581,1.33E+11,1.94E+29
582,582,1.36E+11,2.00E+29
583,583,1.39E+11,2.06E+29
584,584,1.42E+11,2.12E+29
585,585,1.46E+11,2.19E+29
586,586,1.53E+11,2.26E+29
587,587,1.57E+11,2.32E+29
588,588,1.61E+11,2.39E+29
589,589,1.64E+11,2.47E+29
590,590,1.68E+11,2.54E+29
591,591,1.72E+11,2.62E+29
592,592,1.76E+11,2.70E+29
593,593,1.80E+11,2.78E+29
594,594,1.84E+11,2.87E+29
595,595,1.88E+11,2.95E+29
596,596,1.95E+11,3.04E+29
597,597,2.03E+11,3.14E+29
598,598,2.07E+11,3.23E+29
599,599,2.12E+11,3.33E+29
600,600,2.17E+11,3.43E+29
601,601,2.22E+11,3.53E+29
602,602,2.27E+11,3.64E+29
603,603,2.32E+11,3.75E+29
604,604,2.37E+11,3.87E+29
605,605,2.43E+11,3.98E+29
606,606,2.52E+11,4.11E+29
607,607,2.58E+11,4.23E+29
608,608,2.64E+11,4.36E+29
609,609,2.75E+11,4.49E+29
610,610,2.81E+11,4.63E+29
611,611,2.87E+11,4.77E+29
612,612,2.94E+11,4.91E+29
613,613,3.00E+11,5.06E+29
614,614,3.07E+11,5.22E+29
615,615,3.14E+11,5.38E+29
616,616,3.21E+11,5.54E+29
617,617,3.29E+11,5.71E+29
618,618,3.42E+11,5.88E+29
619,619,3.50E+11,6.06E+29
620,620,3.58E+11,6.24E+29
621,621,3.66E+11,6.43E+29
622,622,3.74E+11,6.63E+29
623,623,3.89E+11,6.83E+29
624,624,3.98E+11,7.04E+29
625,625,4.07E+11,7.25E+29
626,626,4.16E+11,7.47E+29
627,627,4.26E+11,7.70E+29
628,628,4.42E+11,7.94E+29
629,629,4.52E+11,8.18E+29
630,630,4.70E+11,8.43E+29
631,631,4.81E+11,8.68E+29
632,632,5.18E+11,8.95E+29
633,633,6.02E+11,9.50E+29
634,634,6.19E+11,9.62E+29
635,635,6.36E+11,9.74E+29
636,636,6.52E+11,9.86E+29
637,637,6.69E+11,9.99E+29
638,638,6.86E+11,1.01E+30
639,639,7.03E+11,1.02E+30
640,640,7.19E+11,1.04E+30
641,641,7.36E+11,1.05E+30
642,642,7.53E+11,1.06E+30
643,643,7.70E+11,1.07E+30
644,644,7.86E+11,1.08E+30
645,645,8.03E+11,1.10E+30
646,646,8.20E+11,1.11E+30
647,647,8.37E+11,1.12E+30
648,648,8.54E+11,1.13E+30
649,649,8.70E+11,1.15E+30
650,650,8.87E+11,1.16E+30
651,651,9.04E+11,1.17E+30
652,652,9.21E+11,1.18E+30
653,653,9.37E+11,1.20E+30
654,654,9.54E+11,1.21E+30
655,655,9.71E+11,1.22E+30
656,656,9.88E+11,1.24E+30
657,657,1.00E+12,1.25E+30
658,658,1.02E+12,1.26E+30
659,659,1.04E+12,1.27E+30
660,660,1.05E+12,1.29E+30
661,661,1.07E+12,1.30E+30
662,662,1.09E+12,1.31E+30
663,663,1.10E+12,1.33E+30
664,664,1.12E+12,1.34E+30
665,665,1.14E+12,1.35E+30
666,666,1.16E+12,1.37E+30
667,667,1.17E+12,1.38E+30
668,668,1.19E+12,1.39E+30
669,669,1.21E+12,1.41E+30
670,670,1.22E+12,1.42E+30
671,671,1.24E+12,1.44E+30
672,672,1.26E+12,1.45E+30
673,673,1.27E+12,1.46E+30
674,674,1.29E+12,1.48E+30
675,675,1.31E+12,1.49E+30
676,676,1.32E+12,1.51E+30
677,677,1.34E+12,1.52E+30
678,678,1.36E+12,1.54E+30
679,679,1.37E+12,1.55E+30
680,680,1.39E+12,1.56E+30
681,681,1.41E+12,1.58E+30
682,682,1.42E+12,1.59E+30
683,683,1.44E+12,1.61E+30
684,684,1.46E+12,1.62E+30
685,685,1.47E+12,1.64E+30
686,686,1.49E+12,1.65E+30
687,687,1.51E+12,1.67E+30
688,688,1.52E+12,1.68E+30
689,689,1.54E+12,1.70E+30
690,690,1.56E+12,1.71E+30
691,691,1.57E+12,1.73E+30
692,692,1.59E+12,1.74E+30
693,693,1.61E+12,1.76E+30
694,694,1.62E+12,1.77E+30
695,695,1.64E+12,1.79E+30
696,696,1.66E+12,1.81E+30
697,697,1.67E+12,1.82E+30
698,698,1.69E+12,1.84E+30
699,699,1.71E+12,1.85E+30
